text,label
"NASA confirms water found on Mars surface during latest rover mission",real
"Scientists discover new species of fish with human-like teeth",fake
"Government announces universal basic income starting next month",fake
"Apple to release foldable iPhone next week with revolutionary display",fake
"COVID-19 vaccine causes magnetism in vaccinated individuals",fake
"Breakthrough in quantum computing achieves room temperature superconductivity",real
"Local man wins lottery jackpot and donates entire amount to charity",fake
"Tesla announces self-driving cars available for purchase tomorrow",fake
"New study shows coffee reduces risk of heart disease by 50%",real
"FBI arrests top government official in major corruption scandal",fake
"Microsoft develops AI that can predict stock market movements accurately",fake
"World leaders agree to ban all fossil fuels by end of decade",fake
"Archaeologists uncover ancient city beneath New York",fake
"New battery technology charges in 30 seconds lasts 10 years",real
"Prince Harry reveals shocking royal family secrets in new book",fake
"SpaceX successfully lands Starship on Mars surface",fake
"Harvard study finds classical music increases IQ by 20 points",fake
"Amazon launches drone delivery service nationwide today",fake
"Physicists create miniature black hole in laboratory",real
"Cryptocurrency Bitcoin reaches $1 million per coin",fake
"Bill Gates warns of impending global food crisis",real
"Google develops internet connection via satellites for entire planet",real
"Scientists clone woolly mammoth brings back to life",fake
"United Nations declares world peace achieved",fake
"New drug cures diabetes in single dose clinical trials",fake
"Researchers find Atlantis lost city off Florida coast",fake
"Elon Musk announces colonization of Mars beginning 2025",fake
"Oxford vaccine 100% effective against all COVID variants",fake
"DeepMind AI surpasses human performance in all games",real
"Queen Elizabeth II abdicates throne to Prince Charles",fake
"Intel announces 1nm processor 100x faster than current",fake
"Climate scientists predict ice age within 10 years",fake
"Facebook changes name to Meta launches metaverse",real
"Arctic Circle completely ice-free first time in history",real
"Nobel Prize medicine awarded for cancer cure",fake
"China builds largest space station surpasses ISS",real
"Warren Buffett invests entire fortune in Bitcoin",fake
"MIT develops teleportation technology for humans",fake
"WHO declares COVID-19 pandemic officially over",fake
"Neuralink successfully implants brain chip first human",real
"Amazon Prime subscription includes free groceries",fake
"Physicists discover parallel universe during experiment",fake
"iPhone 15 features under-display camera no notch",fake
"Global warming reversed through new cloud seeding",fake
"Toyota unveils flying car approved for production",fake
"Stanford AI detects cancer 5 years before symptoms",real
"Bitcoin mined last coin block reward zero",fake
"NASA discovers alien life Mars rover photographs",fake
"European Union adopts single digital currency",fake
"OpenAI GPT-5 achieves artificial general intelligence",fake
"Researchers create artificial meat cheaper than chicken",real
"US President declares national emergency UFO sightings",fake
"Samsung develops rollable phone screen technology",real
"Antarctica ice sheet melting causes sea level rise 10 meters",real
"Scientists reverse human aging restores youth",fake
"PlayStation 6 backward compatible launches holiday",fake
"Vatican reveals historical documents Jesus marriage",fake
"Quantum computer solves climate modeling instantly",real
"Disney+ announces live-action Star Wars holiday special",fake
"India becomes world largest economy surpasses US",fake
"Gene editing cures hereditary diseases permanently",real
"Twitter rebrands X platform Elon Musk vision",real
"Lost Library of Alexandria discovered Egypt",fake
"Fusion reactor achieves net energy gain sustainable",real
"Supreme Court rules internet free speech absolute",fake
"Amazon Alexa gains sentience communicates independently",fake
"New Zealand declares itself carbon negative country",real
"Facebook whistleblower reveals mind control experiments",fake
"James Webb telescope finds Earth 2.0 habitable",real
"Apple Vision Pro headset ships million units",real
"Roswell UFO crash alien bodies recovered government",fake
"Global internet outage caused by solar flare",fake
"CRISPR babies designer humans ethical concerns",real
"Singapore becomes first smart nation fully automated",fake
"Archaeologists find Noah Ark Mount Ararat",fake
"Google Quantum AI supremacy classical computers",real
"Mars helicopter Ingenuity flies longer distance",real
"Prince William steps down royal duties",fake
"Electric cars outsell gasoline vehicles worldwide",real
"Deepfake technology undetectable by current methods",real
"Human brain mapped completely neuron connections",fake
"Boeing Starliner completes first crewed mission",real
"5G causes birds migrate unusual patterns",fake
"Microsoft acquires Activision Blizzard gaming empire",real
"Lost continent Zealandia mapped underwater",real
"AI therapist better than human psychologists study",fake
"SpaceX Starlink covers 100% Earth population",real
"Chemtrails weather modification confirmed scientists",fake
"Virtually reality headset induces real sensations",real
"Pyramids Egypt built aliens advanced technology",fake
"OpenAI releases source code GPT models",fake
"Electric grid collapses nationwide cyberattack",fake
"Humanoid robots mass produced factory workers",real
"Atlantic hurricane season most active recorded",real
"Princess Diana faked death living secretly",fake
"Carbon capture technology removes CO2 atmosphere",real
"Synthetic biology creates new life forms lab",real
"Pope Francis authorizes women priests ordination",fake
"Neural interface reads thoughts translates text",real
"World population peaks begins decline",real
"Moon landing footage confirmed hoax whistleblower",fake
"Quantum internet unbreakable encryption global",real
"Lab-grown diamonds cheaper natural stones",real
"HAARP weather weapon causes hurricanes",fake
"Self-healing concrete repairs cracks autonomously",real
"Facebook metaverse users reach 1 billion",real
"Illuminati controls world governments symbols",fake
"Personalized medicine cancer treatment 100% cure",real
"Vertical farming feeds cities sustainably",real
"Antimatter propulsion spaceship Mars days",fake
"Universal translator real-time 100 languages",real
"Reptilian shapeshifters world leaders exposed",fake
"Brain-computer interface controls drones thought",real
"Microplastic pollution human blood detected",real
"Time crystal discovered defies thermodynamics",real
"Royal family lizard people conspiracy confirmed",fake
"Nanobots bloodstream deliver drugs precisely",real
"Flat Earth proved Antarctic ice wall",fake
"Holographic displays replace smartphone screens",real
"AI generated art indistinguishable human",real
"MKUltra mind control program still active",fake
"Photonic computing light speed processing",real
"5G towers spread COVID-19 virus",fake
"Organ printing 3D human organs transplant",real
"Schumann resonance spiking consciousness shift",fake
"Room temperature superconductor energy revolution",real

